Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
"Yall know I love being the crazy conspiracy theorist, but the way the boys season ended and Biden dropping out like he did is oddly similar. #iDontCareIfimReaching",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.9714253343835175,False
They said this was their plan as soon as the BS started over having Biden drop out. They are trying to have an election with no candidate for President on the ballot.,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"If Trump wins, JD Vance will pull the 25th Amendment on Trump before Trump can finish wearing his Orange make up.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.9326235407575223,False
Thank you and President Biden for our leadership and improving quality life for all Americans I support your candidacy for president. We need you right now.,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
He proved the Leftist wing of the party wrong when they said he wouldnt be too ambitious. He even proved Donald Trump wrong after he predicted the markets would all crash under Biden.,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"The GOP is just openly antidemocratic at this point. The point is to actually WIN the election, not to install your candidate by disenfranchising millions of voters.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
President Joe Biden is a true patriot. He has always fought for America and protecting democracy. It is time Nancy and Chuck to pull the knives out of Joes back and fully support Kamala Harris. If we lose this election I will blame you all.,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.8663404225076197,False
Biden out? ITS HER TIME TO SHINE.,2,2_she_her_shes_vp,"['she', 'her', 'shes', 'vp', 'would', 'michelle', 'and', 'as', 'border', 'than']","['Lindsay Graham is probably the one who made the Grindr gay app crash. If Trump wins/steals the 2024 elections, I recommend that you leave the country as Trump MAGA vampires will hate you and so will the gay community. Will do what we can to stop you from riding the tiger and be', 'Most are going to look to her to choose a candidate from a swing state that is popular, or a Hispanic or white male to appease the majority demographic. I think differently, she should pick a candidate, like Obama did with Biden, who has a huge name and some may prefer they if', ""I have been watching all this growing demand for Bidens resignation. I was against it... but now I'm surprisingly hopeful and excited. I think real Dems will vote for her no matter what- just like they would have voted for Biden. Only now we might pick up younger""]",she - her - shes - vp - would - michelle - and - as - border - than,1.0,False
This is the right decision. Biden is a great politician. In the long run this could put him up there on Mt. Rushmore with Washington &amp; Lincoln personally Id put him ahead of both Roosevelts. He is a lot like Harry Truman.,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
Yes because she has done such a great job as the border czar that Biden appointed her to,2,2_she_her_shes_vp,"['she', 'her', 'shes', 'vp', 'would', 'michelle', 'and', 'as', 'border', 'than']","['Lindsay Graham is probably the one who made the Grindr gay app crash. If Trump wins/steals the 2024 elections, I recommend that you leave the country as Trump MAGA vampires will hate you and so will the gay community. Will do what we can to stop you from riding the tiger and be', 'Most are going to look to her to choose a candidate from a swing state that is popular, or a Hispanic or white male to appease the majority demographic. I think differently, she should pick a candidate, like Obama did with Biden, who has a huge name and some may prefer they if', ""I have been watching all this growing demand for Bidens resignation. I was against it... but now I'm surprisingly hopeful and excited. I think real Dems will vote for her no matter what- just like they would have voted for Biden. Only now we might pick up younger""]",she - her - shes - vp - would - michelle - and - as - border - than,1.0,False
where was this energy with Biden?,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"A prosecutor versus a convicted felon - theres no clearer good versus evil pawlitical battle for the soul and future of our country, and the stakes are incommensurable. Thanks to  Bidens vision, were in a very good pawsition to ensure kindness, justice,",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.8591871138232906,False
"LOL, Biden was forced out. Plain and simple, and it was a good decision by the democrats. Lets see what comes of this.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
I trust Trumps (Dis)orderlies more than I trust Bidens orderlies.,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
Because the Bidens care so much about their people.,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
I bet they made a deal to pardon Hunter if Biden drops out..,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.8178552222789808,False
"If Trump isn't elected, how will we ever find out how the Great Battle Between Sharks and Batteries pans out? RIP,",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.8155674521111539,False
"Honestly, Im not sure yet.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,0.8339735984734539,False
Voters in the primary wanted Biden. The elites already removed him. So much for that Democracy you want to protect. They've appointed the last several candidates. Your party leaders hate you.,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"Nonsense. This man is the leader of the Biden crime family. If he took bribes from the CCP, he should be charged with treason.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"I have a different take than some about todays bombshell by Biden. The Republicans are so screwed now its comical. Theyre going to lose this election soundly, and the powers that be within the GOP absolutely know it. They effed around and now theyre about to find out.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
If the DNC is a contested contest they are effectively handing Trump the presidency. Their strategies are so bad. They already lost the advantage of incumbency by having Biden drop out. This is why I should be the nominee instead actually Vote for Dr. Mr. President Bryson PHD,0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"polls showed he took more votes from Trump than Biden. you're just drinking the left-wing kool-aid repeating harmful rhetoric like that. 2 party system needs to end, and rfk is the way.",0,0_biden_the_you_of,"['biden', 'the', 'you', 'of', 'to', 'and', 'is', 'he', 'for', 'that']","['You can\'t be that naive....You know Biden was forced out right? He wanted to commit to 4 more years but the Dem machine said ""NO"" And every left leaning media outlet is reporting it that way...You apparently are the only one buying it was Joe\'s decision', ""Mr. President Thank You for your service it's been great and I Love Our country and know you refuse to give up,so don't retire too soon,you will be honored if you could help Team Biden, in ending a Era of Hate , force that rains in Trump's lies.. God bless."", 'Get over it. We all know why Biden did it. When??? When will you all stop your damn lying. Nasty Liars and Cheats.The entire lot of you idiots are Liars. I am ashamed to say you are an American. We would be so much better off if all of you lying democrats would leave this country']",biden - the - you - of - to - and - is - he - for - that,1.0,False
"The millions of people who voted for Biden with Harris as his VP, this his stated preference for the line of succession, whom he has endorsed as his replacement? Those millions of people? Based on your timeline, I don't think you actually care about those people.",3,3_harris_biden_in_and,"['harris', 'biden', 'in', 'and', 'state', 'as', 'difference', 'critical', 'visiting', 'nc']","['Your guy is a criminal, rapist and his mind is completely shot. He cant even string a simple sentence together. We may have been shocked by Biden stepping down, but make no mistake, we will rally behind Harris . trump is going down. That POS will never set foot in the WH again', 'I think you just need to sit down and shut the hell up micropenis. Just because you all forced Biden out of seeking a second term, doesnt mean he has to resign. You do realize that when we selected Biden in our primary, we selected VP Harris too? Sit down and be quiet.', 'I really really hope so. You know team Trump is losing their shit right now. They spent their entire nazi rally messaging setting Biden up as their opposition Biden needs to go all out before he steps down. No reason not to go scorched earth and smooth the path for Harris.']",harris - biden - in - and - state - as - difference - critical - visiting - nc,1.0,False
